State,Date,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million
Alabama,1/12/2021,7270,0.15,0,0
Alabama,1/13/2021,9245,0.19,5906,1205
Alabama,1/15/2021,13488,0.28,7478,1525
Alabama,1/19/2021,16346,0.33,7523,1534
Alabama,1/20/2021,17956,0.37,7880,1607
Alabama,1/21/2021,21345,0.44,10517,2145
Alabama,1/22/2021,24840,0.51,14107,2877
Alabama,1/23/2021,27422,0.56,16202,3304
Alabama,1/24/2021,29736,0.61,18294,3731
Alabama,1/25/2021,29978,0.61,18196,3711
Alabama,1/26/2021,30933,0.63,17738,3618
Alabama,1/27/2021,33595,0.69,18178,3707
Alabama,1/28/2021,37431,0.76,16153,3294
Alabama,1/29/2021,44073,0.9,14514,2960
Alabama,1/30/2021,53742,1.1,17271,3522
Alabama,1/31/2021,55331,1.13,15748,3212
Alabama,2/1/2021,56308,1.15,15381,3137
Alabama,2/2/2021,58825,1.2,16703,3407
Alabama,2/3/2021,62990,1.28,17414,3552
Alabama,2/4/2021,69155,1.41,18491,3771
Alabama,2/5/2021,76603,1.56,18526,3778
Alabama,2/6/2021,84278,1.72,16105,3285
Alabama,2/7/2021,86141,1.76,15480,3157
Alabama,2/8/2021,88453,1.8,15622,3186
Alabama,2/9/2021,95033,1.94,17012,3470
Alabama,2/10/2021,102520,2.09,18209,3714
Alabama,2/11/2021,111036,2.26,19258,3928
Alabama,2/12/2021,122019,2.49,20074,4094
Alabama,2/13/2021,133029,2.71,20855,4253
Alabama,2/14/2021,137032,2.79,21417,4368
Alabama,2/16/2021,149288,3.04,20816,4245
Alabama,2/17/2021,154341,3.15,19174,3911
Alabama,2/18/2021,165104,3.37,18400,3753
Alabama,2/19/2021,192304,3.92,24002,4895
Alabama,2/20/2021,214512,4.37,25111,5121
Alabama,2/21/2021,219639,4.48,25194,5138
Alabama,2/22/2021,221785,4.52,24164,4928
Alabama,2/23/2021,233073,4.75,25489,5198
Alabama,2/24/2021,247024,5.04,27098,5527
Alabama,2/25/2021,261689,5.34,27531,5615
Alabama,2/26/2021,278985,5.69,22104,4508
Alabama,2/27/2021,300548,6.13,22022,4491
Alabama,2/28/2021,305731,6.24,21984,4484
Alabama,3/1/2021,308416,6.29,22111,4510
Alabama,3/2/2021,322346,6.57,22436,4576
Alabama,3/3/2021,338967,6.91,22904,4671
Alabama,3/4/2021,357384,7.29,23916,4878
Alabama,3/5/2021,374826,7.64,24388,4974
Alabama,3/6/2021,393619,8.03,24087,4913
Alabama,3/7/2021,398035,8.12,23947,4884
Alabama,3/8/2021,409937,8.36,24040,4903
Alabama,3/9/2021,420083,8.57,24118,4919
Alabama,3/10/2021,435018,8.87,24827,5063
Alabama,3/11/2021,452746,9.23,25376,5175
