state_name,Day,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations,total_vaccinations_per_hundred
Alabama,2021-01-12,7270,0.15,78134,1
Alabama,2021-01-13,9245,0.19,84040,1
Alabama,2021-01-15,13488,0.28,100567,2
Alabama,2021-01-19,16346,0.33,130795,2
Alabama,2021-01-20,17956,0.37,139200,2
Alabama,2021-01-21,21345,0.44,165919,3
Alabama,2021-01-22,24840,0.51,199314,4
Alabama,2021-01-23,27422,0.56,221540,4
Alabama,2021-01-24,29736,0.61,243737,4
Alabama,2021-01-25,29978,0.61,250612,5
Alabama,2021-01-26,30933,0.63,254959,5
Alabama,2021-01-27,33595,0.69,266444,5
Alabama,2021-01-28,37431,0.76,278993,5
Alabama,2021-01-29,44073,0.9,300915,6
Alabama,2021-01-30,53742,1.1,342436,6
Alabama,2021-01-31,55331,1.13,353974,7
Alabama,2021-02-01,56308,1.15,358280,7
Alabama,2021-02-02,58825,1.2,371882,7
Alabama,2021-02-03,62990,1.28,388339,7
Alabama,2021-02-04,69155,1.41,408428,8
Alabama,2021-02-05,76603,1.56,430597,8
Alabama,2021-02-06,84278,1.72,455173,9
Alabama,2021-02-07,86141,1.76,462332,9
Alabama,2021-02-08,88453,1.8,467636,9
Alabama,2021-02-09,95033,1.94,490969,10
Alabama,2021-02-10,102520,2.09,515802,10
Alabama,2021-02-11,111036,2.26,543237,11
Alabama,2021-02-12,122019,2.49,571115,11
Alabama,2021-02-13,133029,2.71,601159,12
Alabama,2021-02-14,137032,2.79,612254,12
Alabama,2021-02-16,149288,3.04,636682,12
Alabama,2021-02-17,154341,3.15,650020,13
Alabama,2021-02-18,165104,3.37,672038,13
Alabama,2021-02-19,192304,3.92,739132,15
Alabama,2021-02-20,214512,4.37,776936,15
Alabama,2021-02-21,219639,4.48,788613,16
Alabama,2021-02-22,228101,4.65,793614,16
Alabama,2021-02-23,239425,4.88,815108,16
Alabama,2021-02-24,253615,5.17,839703,17
Alabama,2021-02-25,268465,5.48,864757,17
Alabama,2021-02-26,286095,5.83,893859,18
Alabama,2021-02-27,307868,6.28,931090,18
Alabama,2021-02-28,313290,6.39,942502,19
Alabama,2021-03-01,316073,6.45,948393,19
Alabama,2021-03-02,330046,6.73,972161,19
Alabama,2021-03-03,346841,7.07,1000031,20
Alabama,2021-03-04,365456,7.45,1032171,21
Alabama,2021-03-05,383078,7.81,1064578,21
Alabama,2021-03-06,402061,8.2,1099697,22
Alabama,2021-03-07,406723,8.3,1110132,22
Alabama,2021-03-08,409937,8.36,1116676,22
Alabama,2021-03-09,420083,8.57,1140984,23
Alabama,2021-03-10,435018,8.87,1173820,23
Alabama,2021-03-11,452746,9.23,1209802,24
Alabama,2021-03-12,472325,9.63,1249205,25
Alabama,2021-03-13,492755,10.05,1288242,26
Alabama,2021-03-14,497653,10.15,1298612,26
Alabama,2021-03-15,501344,10.22,1306419,26
Alabama,2021-03-16,511869,10.44,1332298,27
Alabama,2021-03-17,523649,10.68,1363987,27
Alabama,2021-03-18,533375,10.88,1390066,28
Alabama,2021-03-19,547257,11.16,1426696,29
Alabama,2021-03-20,561254,11.45,1460782,29
Alabama,2021-03-21,566632,11.56,1472666,30
Alabama,2021-03-22,569127,11.61,1479271,30
Alabama,2021-03-23,579598,11.82,1509445,30
Alabama,2021-03-24,589979,12.03,1542416,31
Alabama,2021-03-25,600666,12.25,1579091,32
Alabama,2021-03-26,611694,12.48,1611404,32
Alabama,2021-03-27,623385,12.71,1645858,33
Alabama,2021-03-28,628500,12.82,1659102,33
Alabama,2021-03-29,631388,12.88,1666585,33
Alabama,2021-03-30,643450,13.12,1697641,34
Alabama,2021-03-31,656899,13.4,1728736,35
Alabama,2021-04-01,673773,13.74,1771979,36
Alabama,2021-04-02,691082,14.09,1813462,36
Alabama,2021-04-03,705197,14.38,1847243,37
Alabama,2021-04-04,709849,14.48,1858833,37
Alabama,2021-04-05,711596,14.51,1864857,38
Alabama,2021-04-06,725270,14.79,1896920,38
Alabama,2021-04-07,744961,15.19,1935221,39
Alabama,2021-04-08,764450,15.59,1976344,40
Alabama,2021-04-09,788325,16.08,2021334,41
Alabama,2021-04-10,811323,16.55,2065327,42
Alaska,2021-01-12,5400,0.74,35838,4
Alaska,2021-01-13,6166,0.84,38680,5
Alaska,2021-01-15,9406,1.29,49039,6
Alaska,2021-01-19,10802,1.48,66331,9
Alaska,2021-01-20,11283,1.54,68293,9
Alaska,2021-01-21,12352,1.69,71907,9
Alaska,2021-01-22,13718,1.88,81096,11
Alaska,2021-01-23,15206,2.08,88344,12
Alaska,2021-01-24,16201,2.21,94257,12
Alaska,2021-01-25,16673,2.28,97031,13
Alaska,2021-01-26,16815,2.3,98149,13
Alaska,2021-01-27,18097,2.47,101597,13
Alaska,2021-01-28,20045,2.74,105858,14
Alaska,2021-01-29,21593,2.95,110396,15
Alaska,2021-01-30,23320,3.19,115268,15
Alaska,2021-01-31,24545,3.36,119590,16
Alaska,2021-02-01,25467,3.48,122020,16
Alaska,2021-02-02,26207,3.58,123443,16
Alaska,2021-02-03,27528,3.76,125765,17
Alaska,2021-02-04,30172,4.12,129936,17
Alaska,2021-02-05,32593,4.46,134002,18
Alaska,2021-02-06,35773,4.89,139147,19
Alaska,2021-02-07,39541,5.41,146082,19
Alaska,2021-02-08,40812,5.58,150934,20
Alaska,2021-02-09,41698,5.7,152874,20
Alaska,2021-02-10,43552,5.95,156255,21
Alaska,2021-02-11,46006,6.29,162273,22
Alaska,2021-02-12,48969,6.69,167436,22
Alaska,2021-02-13,52380,7.16,175138,23
Alaska,2021-02-14,57117,7.81,183831,25
Alaska,2021-02-16,60964,8.33,191008,26
Alaska,2021-02-17,62474,8.54,193617,26
Alaska,2021-02-18,65245,8.92,199151,27
Alaska,2021-02-19,71892,9.83,216223,29
Alaska,2021-02-20,78623,10.75,227403,31
Alaska,2021-02-21,82272,11.25,235141,32
Alaska,2021-02-22,84131,11.5,238279,32
Alaska,2021-02-23,84746,11.58,239927,32
Alaska,2021-02-24,86836,11.87,243650,33
Alaska,2021-02-25,90214,12.33,249559,34
Alaska,2021-02-26,92233,12.61,254334,34
Alaska,2021-02-27,95331,13.03,259538,35
Alaska,2021-02-28,97554,13.34,264741,36
Alaska,2021-03-01,99916,13.66,268406,36
Alaska,2021-03-02,100902,13.79,269941,36
Alaska,2021-03-03,102382,14.0,273350,37
Alaska,2021-03-04,104129,14.23,276891,37
Alaska,2021-03-05,106558,14.57,281467,38
Alaska,2021-03-06,110053,15.04,288625,39
Alaska,2021-03-07,113787,15.55,295046,40
Alaska,2021-03-08,115635,15.81,298144,40
Alaska,2021-03-09,117345,16.04,302687,41
Alaska,2021-03-10,119073,16.28,307769,42
Alaska,2021-03-11,122197,16.7,313365,42
Alaska,2021-03-12,124170,16.97,318526,43
Alaska,2021-03-13,126647,17.31,324271,44
Alaska,2021-03-14,130857,17.89,333357,45
Alaska,2021-03-15,132532,18.12,337141,46
Alaska,2021-03-16,133907,18.3,339647,46
Alaska,2021-03-17,135810,18.56,345987,47
Alaska,2021-03-18,138464,18.93,351093,47
Alaska,2021-03-19,140169,19.16,356055,48
Alaska,2021-03-20,143349,19.6,362698,49
Alaska,2021-03-21,145975,19.95,372435,50
Alaska,2021-03-22,146903,20.08,375590,51
Alaska,2021-03-23,147214,20.12,376555,51
Alaska,2021-03-24,148725,20.33,379296,51
Alaska,2021-03-25,150980,20.64,384503,52
Alaska,2021-03-26,153706,21.01,389775,53
Alaska,2021-03-27,156698,21.42,395650,54
Alaska,2021-03-28,160197,21.9,401502,54
Alaska,2021-03-29,160932,22.0,403284,55
Alaska,2021-03-30,161504,22.08,404339,55
Alaska,2021-03-31,163100,22.3,407233,55
Alaska,2021-04-01,165325,22.6,411529,56
Alaska,2021-04-02,167561,22.91,415690,56
Alaska,2021-04-03,170747,23.34,420238,57
Alaska,2021-04-04,176825,24.17,428556,58
Alaska,2021-04-05,178886,24.45,431436,58
Alaska,2021-04-06,179359,24.52,432690,59
Alaska,2021-04-07,181924,24.87,436681,59
Alaska,2021-04-08,186597,25.51,443287,60
Alaska,2021-04-09,189958,25.97,448337,61
Alaska,2021-04-10,194814,26.63,455719,62
American Samoa,2021-01-12,260,0.47,2124,3
American Samoa,2021-01-13,362,0.65,2577,4
American Samoa,2021-01-15,738,1.33,3883,6
American Samoa,2021-01-19,770,1.38,4756,8
American Samoa,2021-01-20,836,1.5,5313,9
American Samoa,2021-01-21,929,1.67,5664,10
American Samoa,2021-01-22,940,1.69,6569,11
American Samoa,2021-01-23,948,1.7,6831,12
American Samoa,2021-01-24,948,1.7,8046,14
American Samoa,2021-01-25,948,1.7,8046,14
American Samoa,2021-01-26,948,1.7,8315,14
American Samoa,2021-01-27,950,1.71,9085,16
American Samoa,2021-01-28,950,1.71,9085,16
American Samoa,2021-01-29,997,1.79,9925,17
American Samoa,2021-01-30,997,1.79,9925,17
American Samoa,2021-01-31,997,1.79,9925,17
American Samoa,2021-02-01,1046,1.88,10761,19
American Samoa,2021-02-02,1046,1.88,10761,19
American Samoa,2021-02-03,1305,2.34,11066,19
American Samoa,2021-02-04,1494,2.68,11257,20
American Samoa,2021-02-05,2252,4.04,12029,21
American Samoa,2021-02-06,2478,4.45,12259,22
American Samoa,2021-02-07,2478,4.45,12259,22
American Samoa,2021-02-08,2478,4.45,12259,22
American Samoa,2021-02-09,2885,5.18,12680,22
American Samoa,2021-02-10,3494,6.27,13318,23
American Samoa,2021-02-11,3685,6.62,13513,24
American Samoa,2021-02-12,4968,8.92,15032,26
American Samoa,2021-02-13,5308,9.53,15382,27
American Samoa,2021-02-14,5308,9.53,15382,27
American Samoa,2021-02-16,5860,10.52,16109,28
American Samoa,2021-02-17,5989,10.75,16269,29
American Samoa,2021-02-18,5989,10.75,16269,29
American Samoa,2021-02-19,5989,10.75,16269,29
American Samoa,2021-02-20,6893,12.38,17740,31
American Samoa,2021-02-21,7811,14.03,18778,33
American Samoa,2021-02-22,7859,14.11,18816,33
American Samoa,2021-02-23,7859,14.11,18816,33
American Samoa,2021-02-24,8020,14.4,19739,35
American Samoa,2021-02-25,8020,14.4,19739,35
American Samoa,2021-02-26,8079,14.51,20336,36
American Samoa,2021-02-27,8079,14.51,20338,36
American Samoa,2021-02-28,8079,14.51,20338,36
American Samoa,2021-03-01,8080,14.51,20338,36
American Samoa,2021-03-02,8142,14.62,21079,37
American Samoa,2021-03-03,8142,14.62,21079,37
American Samoa,2021-03-04,8252,14.82,21625,38
American Samoa,2021-03-05,8252,14.82,21625,38
American Samoa,2021-03-06,8252,14.82,21625,38
American Samoa,2021-03-07,8252,14.82,21625,38
American Samoa,2021-03-08,8254,14.82,21625,38
American Samoa,2021-03-09,8254,14.82,21625,38
American Samoa,2021-03-10,8706,15.63,23696,42
American Samoa,2021-03-11,8706,15.63,23696,42
American Samoa,2021-03-12,8706,15.63,23696,42
American Samoa,2021-03-13,8713,15.65,23696,42
American Samoa,2021-03-14,8713,15.65,23696,42
American Samoa,2021-03-15,9023,16.2,24300,43
American Samoa,2021-03-16,9024,16.2,24300,43
American Samoa,2021-03-17,9025,16.21,24300,43
American Samoa,2021-03-18,9025,16.21,24300,43
American Samoa,2021-03-19,9026,16.21,24300,43
American Samoa,2021-03-20,9027,16.21,24300,43
American Samoa,2021-03-21,9028,16.21,24300,43
American Samoa,2021-03-22,10196,18.31,27015,48
American Samoa,2021-03-23,10240,18.39,27263,48
American Samoa,2021-03-24,10552,18.95,27837,49
American Samoa,2021-03-25,10566,18.97,27864,50
American Samoa,2021-03-26,11043,19.83,28503,51
American Samoa,2021-03-27,11046,19.84,28527,51
American Samoa,2021-03-28,11047,19.84,28527,51
American Samoa,2021-03-29,11049,19.84,28527,51
American Samoa,2021-03-30,11460,20.58,29079,52
American Samoa,2021-03-31,13406,24.07,31167,55
American Samoa,2021-04-01,13406,24.07,31167,55
American Samoa,2021-04-02,13754,24.7,31761,57
American Samoa,2021-04-03,13755,24.7,31761,57
American Samoa,2021-04-04,13755,24.7,31775,57
American Samoa,2021-04-05,13755,24.7,31775,57
American Samoa,2021-04-06,13755,24.7,31775,57
American Samoa,2021-04-07,14337,25.74,32856,59
American Samoa,2021-04-08,14338,25.75,32904,59
American Samoa,2021-04-09,14737,26.46,33545,60
American Samoa,2021-04-10,14737,26.46,33545,60
Arizona,2021-01-12,8343,0.11,141355,1
Arizona,2021-01-13,12392,0.17,154745,2
Arizona,2021-01-15,20837,0.29,197086,2
Arizona,2021-01-19,30892,0.42,266276,3
Arizona,2021-01-20,34788,0.48,281887,3
Arizona,2021-01-21,41613,0.57,303899,4
Arizona,2021-01-22,48938,0.67,329349,4
Arizona,2021-01-23,55014,0.76,360958,4
Arizona,2021-01-24,58291,0.8,390623,5
Arizona,2021-01-25,62711,0.86,413662,5
