Day,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations,total_vaccinations_per_hundred
2021-01-12,782228,0.24,9327138,2
2021-01-13,1020260,0.31,10278462,3
2021-01-15,1610524,0.49,12279180,3
2021-01-19,2023124,0.61,15707588,4
2021-01-20,2161419,0.65,16525281,4
2021-01-21,2394961,0.72,17546374,5
2021-01-22,2756953,0.83,19107959,5
2021-01-23,3027865,0.91,20537990,6
2021-01-24,3216836,0.97,21848655,6
2021-01-25,3346390,1.01,22734243,6
2021-01-26,3481921,1.05,23540994,7
2021-01-27,3801053,1.14,24652634,7
2021-01-28,4263056,1.28,26193682,7
2021-01-29,4780888,1.44,27884661,8
2021-01-30,5259693,1.58,29577902,8
2021-01-31,5657142,1.7,31123299,9
2021-02-01,5927847,1.79,32222402,9
2021-02-02,6064792,1.83,32780860,9
2021-02-03,6436931,1.94,33878254,10
2021-02-04,6926050,2.09,35203710,10
2021-02-05,7503864,2.26,36819212,11
2021-02-06,8317180,2.51,39037964,11
2021-02-07,9147185,2.76,41210937,12
2021-02-08,9518015,2.87,42417617,12
2021-02-09,9840429,2.96,43206190,13
2021-02-10,10469514,3.15,44769970,13
2021-02-11,11188782,3.37,46390270,13
2021-02-12,12085830,3.64,48410558,14
2021-02-13,13082172,3.94,50641884,15
2021-02-14,14077440,4.24,52884356,15
2021-02-16,15015434,4.52,55220364,16
2021-02-17,15471536,4.66,56281827,16
2021-02-18,16162358,4.87,57737767,17
2021-02-19,17039118,5.13,59585043,17
2021-02-20,17895667,5.39,61289500,18
2021-02-21,18865319,5.68,63090634,19
2021-02-22,19438495,5.86,64177474,19
2021-02-23,19882544,5.99,65032083,19
2021-02-24,20607261,6.21,66464947,20
2021-02-25,21555117,6.49,68274117,20
2021-02-26,22613359,6.81,70454064,21
2021-02-27,23698627,7.14,72806180,21
2021-02-28,24779920,7.46,75236003,22
2021-03-01,25466405,7.67,76899987,23
2021-03-02,26162122,7.88,78631601,23
2021-03-03,26957804,8.12,80540474,24
2021-03-04,27795980,8.37,82572848,24
2021-03-05,28701201,8.65,85008094,25
2021-03-06,29776160,8.97,87912323,26
2021-03-07,30686881,9.24,90351750,27
2021-03-08,31493040,9.49,92089852,27
2021-03-09,32102061,9.67,93692598,28
2021-03-10,32904161,9.91,95721290,28
2021-03-11,33863127,10.2,98203893,29
2021-03-12,35000159,10.54,101128005,30
2021-03-13,36929777,11.12,105703501,31
2021-03-14,37459269,11.28,107060274,32
2021-03-15,38335432,11.55,109081860,32
2021-03-16,39042345,11.76,110737856,33
2021-03-17,39989196,12.05,113037627,34
2021-03-18,40981464,12.34,115730008,34
2021-03-19,41934629,12.63,118313818,35
2021-03-20,43036818,12.96,121441497,36
2021-03-21,44141228,13.3,124481412,37
2021-03-22,44910946,13.53,126509736,38
2021-03-23,45533962,13.72,128217029,38
2021-03-24,46365515,13.97,130473853,39
2021-03-25,47419832,14.28,133305295,40
2021-03-26,48695172,14.67,136684688,41
2021-03-27,50141769,15.1,140180735,42
2021-03-28,51593564,15.54,143462691,43
2021-03-29,52614231,15.85,145812835,43
2021-03-30,53423486,16.09,147602345,44
2021-03-31,54607041,16.45,150273292,45
2021-04-01,56089614,16.89,153631404,46
2021-04-02,57984785,17.47,157606463,47
2021-04-03,59858146,18.03,161688422,48
2021-04-04,61416536,18.5,165053746,49
2021-04-05,62392065,18.79,167187795,50
2021-04-06,63016976,18.98,168592075,50
2021-04-07,64422618,19.4,171476655,51
2021-04-08,66203123,19.94,174879716,52
2021-04-09,68202458,20.54,178837781,53
2021-04-10,70692645,21.29,183467709,55
