date_administered,people_fully_vaccinated,people_fully_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million
1/12/2021,782228,0.24,641524,1932
1/13/2021,1020260,0.31,710238,2139
1/15/2021,1610524,0.49,798707,2406
1/19/2021,2023124,0.61,911493,2745
1/20/2021,2161419,0.65,892403,2688
1/21/2021,2394961,0.72,913912,2753
1/22/2021,2756953,0.83,975540,2938
1/23/2021,3027865,0.91,1057387,3185
1/24/2021,3216836,0.97,1122182,3380
1/25/2021,3346390,1.01,1126251,3392
1/26/2021,3481921,1.05,1119058,3371
1/27/2021,3801053,1.14,1161050,3497
1/28/2021,4263056,1.28,1235330,3721
1/29/2021,4780888,1.44,1253815,3777
1/30/2021,5259693,1.58,1291416,3890
1/31/2021,5657142,1.7,1324949,3991
2/1/2021,5927847,1.79,1355451,4083
2/2/2021,6064792,1.83,1319981,3976
2/3/2021,6436931,1.94,1317946,3970
2/4/2021,6926050,2.09,1287147,3877
2/5/2021,7503864,2.26,1276364,3845
2/6/2021,8317180,2.51,1351437,4071
2/7/2021,9147185,2.76,1441091,4341
2/8/2021,9518015,2.87,1456459,4387
2/9/2021,9840429,2.96,1489333,4486
2/10/2021,10469514,3.15,1555959,4687
2/11/2021,11188782,3.37,1598080,4814
2/12/2021,12085830,3.64,1655907,4988
2/13/2021,13082172,3.94,1657703,4993
2/14/2021,14077440,4.24,1667631,5023
2/16/2021,15015434,4.52,1716311,5170
2/17/2021,15471536,4.66,1644551,4954
2/18/2021,16162358,4.87,1621071,4883
2/19/2021,17039118,5.13,1596355,4808
2/20/2021,17895667,5.39,1521088,4582
2/21/2021,18865319,5.68,1458040,4392
2/22/2021,19438495,5.86,1446445,4357
2/23/2021,19882544,5.99,1401674,4222
2/24/2021,20607261,6.21,1454731,4382
2/25/2021,21555117,6.49,1505193,4534
2/26/2021,22613359,6.81,1552717,4677
2/27/2021,23698627,7.14,1645240,4956
2/28/2021,24779920,7.46,1735053,5226
3/1/2021,25466405,7.67,1817502,5474
3/2/2021,26162122,7.88,1942788,5852
3/3/2021,26957804,8.12,2010790,6057
3/4/2021,27795980,8.37,2042676,6153
3/5/2021,28701201,8.65,2079147,6263
3/6/2021,29776160,8.97,2158020,6500
3/7/2021,30686881,9.24,2159392,6504
3/8/2021,31493040,9.49,2169981,6536
3/9/2021,32102061,9.67,2151571,6481
3/10/2021,32904161,9.91,2168688,6532
3/11/2021,33863127,10.2,2233006,6726
3/12/2021,35000159,10.54,2302844,6936
3/13/2021,36929777,11.12,2541597,7656
3/14/2021,37459269,11.28,2386932,7190
