submission_date,state_name,tot_cases,new_cases,tot_deaths,new_deaths
12/02/2020,New York,673656,8811,34422,64
11/03/2020,New York,517015,2449,33324,21
03/11/2020,New York,217,44,0,0
08/09/2020,New York,422349,515,32465,10
01/08/2021,New York,1110110,19273,39059,181
04/17/2020,New York,224438,7735,15759,1035
07/31/2020,New York,416633,673,32377,9
05/11/2020,New York,336017,1377,27184,261
03/26/2021,New York,1837344,8110,49631,78
11/25/2020,New York,621292,6593,34022,45
08/18/2020,New York,427897,627,32553,5
07/15/2020,New York,405876,859,32133,24
02/29/2020,New York,0,0,0,0
03/29/2020,New York,59219,5911,895,116
02/10/2020,New York,0,0,0,0
04/14/2020,New York,201834,6753,9522,679
02/20/2021,New York,1590225,6897,46499,128
10/20/2020,New York,488301,1599,33113,14
03/24/2021,New York,1821041,7563,49491,82
12/20/2020,New York,856465,10900,36202,138
11/30/2020,New York,657065,7943,34290,59
06/24/2020,New York,391510,616,31020,28
01/04/2021,New York,1042084,12056,38348,150
09/28/2020,New York,457616,843,32848,11
08/10/2020,New York,422824,475,32472,7
03/22/2020,New York,15168,4812,87,23
03/29/2021,New York,1861733,5976,49888,76
03/19/2020,New York,6834,2237,34,12
01/31/2020,New York,0,0,0,0
05/25/2020,New York,365405,6561,29193,147
01/07/2021,New York,1090837,18369,38878,181
02/02/2020,New York,0,0,0,0
08/21/2020,New York,429727,640,32567,8
01/15/2021,New York,1221102,18688,40428,194
10/04/2020,New York,465896,1134,32929,20
12/04/2020,New York,694931,10621,34563,67
09/05/2020,New York,439421,522,32685,1
05/07/2020,New York,321962,3047,26120,341
02/26/2020,New York,0,0,0,0
09/08/2020,New York,441214,537,32715,1
02/11/2021,New York,1520324,9415,45249,143
01/22/2020,New York,0,0,0,0
09/14/2020,New York,446170,662,32753,11
08/12/2020,New York,424329,742,32497,10
02/14/2021,New York,1544674,7901,45687,131
11/20/2020,New York,588632,5401,33827,43
10/26/2020,New York,499835,1496,33193,21
06/10/2020,New York,382136,631,30409,58
09/04/2020,New York,438899,842,32684,5
08/02/2020,New York,417730,457,32410,15
03/02/2021,New York,1661918,5590,47624,119
11/22/2020,New York,603592,9154,33897,38
08/20/2020,New York,429087,529,32559,6
03/16/2021,New York,1759185,5984,48866,73
05/16/2020,New York,351872,8568,28097,342
02/16/2020,New York,0,0,0,0
10/10/2020,New York,474510,1374,32983,6
01/03/2021,New York,1030028,13180,38198,156
02/02/2021,New York,1441306,6962,43761,154
03/13/2021,New York,1739101,6947,48640,85
03/31/2020,New York,74427,7296,1307,238
01/29/2021,New York,1404205,13091,43091,179
01/18/2021,New York,1263377,12523,40977,173
02/01/2020,New York,0,0,0,0
05/03/2020,New York,312618,5112,24560,734
06/19/2020,New York,388330,685,30824,20
12/08/2020,New York,733443,10441,34851,53
05/13/2020,New York,338617,1936,27448,166
01/26/2021,New York,1364841,10097,42494,156
10/19/2020,New York,486702,956,33099,10
01/01/2021,New York,1003193,16769,37912,159
10/01/2020,New York,461526,1456,32892,22
03/20/2021,New York,1784622,9159,49186,80
12/12/2020,New York,774812,10128,35244,108
04/28/2020,New York,290481,2874,22275,392
10/11/2020,New York,475540,1030,32990,7
03/18/2020,New York,4597,1996,22,10
09/12/2020,New York,444604,543,32731,2
02/08/2020,New York,0,0,0,0
08/07/2020,New York,421137,614,32449,11
04/07/2021,New York,1928944,7522,50589,85
03/21/2021,New York,1791705,7083,49265,79
11/21/2020,New York,594438,5806,33859,32
05/23/2020,New York,362859,7238,28978,176
02/21/2021,New York,1596794,6569,46600,101
08/11/2020,New York,423587,763,32487,15
07/01/2020,New York,395982,688,31810,26
02/24/2021,New York,1617264,7203,46936,112
03/26/2020,New York,38977,6011,424,92
05/04/2020,New York,313836,1218,24717,157
07/08/2020,New York,400719,794,31968,28
07/11/2020,New York,402861,751,32024,9
05/05/2020,New York,316041,2205,25014,297
11/13/2020,New York,554544,5111,33575,29
11/15/2020,New York,563637,3450,33633,36
09/02/2020,New York,437251,769,32667,5
09/03/2020,New York,438057,806,32679,12
02/19/2020,New York,0,0,0,0
03/07/2020,New York,30,7,0,0
01/02/2021,New York,1016848,13655,38042,130
03/01/2020,New York,0,0,0,0
02/07/2020,New York,0,0,0,0
07/12/2020,New York,403474,613,32069,45
11/12/2020,New York,549433,4787,33546,32
05/30/2020,New York,366802,1479,29612,77
02/26/2021,New York,1633957,7645,47188,120
05/12/2020,New York,336681,664,27282,98
09/26/2020,New York,455920,924,32825,8
10/30/2020,New York,508972,2298,33260,13
11/01/2020,New York,512837,1938,33290,14
08/13/2020,New York,424955,626,32509,12
02/20/2020,New York,0,0,0,0
06/05/2020,New York,373097,1051,30066,55
03/03/2020,New York,1,0,0,0
06/21/2020,New York,389737,524,30927,47
07/29/2020,New York,415209,730,32355,17
01/26/2020,New York,0,0,0,0
05/17/2020,New York,347936,-3936,28168,71
05/10/2020,New York,334640,6041,26923,226
01/16/2021,New York,1236099,14997,40609,181
12/13/2020,New York,784475,9663,35360,116
09/01/2020,New York,436482,699,32662,7
06/23/2020,New York,390894,568,30992,36
10/23/2020,New York,494844,3157,33148,8
04/15/2020,New York,211550,9716,14306,725
09/09/2020,New York,442058,844,32717,2
02/17/2021,New York,1567001,9542,46091,158
12/28/2020,New York,945537,11695,37320,133
12/18/2020,New York,836002,11188,35944,116
10/27/2020,New York,501776,1941,33206,13
07/19/2020,New York,408495,523,32198,19
06/13/2020,New York,379459,853,30565,54
03/08/2020,New York,40,10,0,0
01/20/2021,New York,1287200,11960,41399,213
02/04/2021,New York,1456325,8346,44100,158
04/30/2020,New York,299106,4391,23211,452
09/20/2020,New York,451041,786,32797,6
04/22/2020,New York,253219,2419,19256,153
05/21/2020,New York,353623,-3808,28663,54
10/08/2020,New York,471445,1832,32971,13
01/28/2020,New York,0,0,0,0
04/19/2020,New York,238138,4568,17027,753
12/21/2020,New York,866223,9758,36327,125
11/19/2020,New York,583231,5393,33784,44
04/26/2020,New York,282991,5385,21504,519
02/21/2020,New York,0,0,0,0
12/17/2020,New York,824814,11470,35828,130
10/28/2020,New York,503924,2148,33228,22
01/27/2021,New York,1377104,12263,42705,211
01/31/2021,New York,1425805,9988,43446,175
10/05/2020,New York,466863,967,32939,10
04/02/2020,New York,90279,5544,1957,285
01/21/2021,New York,1303000,15800,41582,183
03/11/2021,New York,1725565,7224,48454,92
09/16/2020,New York,447582,694,32773,8
10/24/2020,New York,496903,2059,33164,16
11/11/2020,New York,544646,4835,33514,19
02/28/2021,New York,1648893,7014,47412,115
07/10/2020,New York,402110,765,32015,16
07/03/2020,New York,397675,806,31855,24
09/17/2020,New York,448491,909,32783,10
08/26/2020,New York,432458,538,32610,6
03/12/2020,New York,325,108,0,0
01/13/2021,New York,1186627,14331,40015,223
03/06/2021,New York,1692633,7346,48023,93
07/22/2020,New York,410560,715,32263,41
