submission_date,state_name,tot_cases,new_cases,tot_deaths,new_deaths
1/22/2020,New York,0,0,0,0
1/23/2020,New York,0,0,0,0
1/24/2020,New York,0,0,0,0
1/25/2020,New York,0,0,0,0
1/26/2020,New York,0,0,0,0
1/27/2020,New York,0,0,0,0
1/28/2020,New York,0,0,0,0
1/29/2020,New York,0,0,0,0
1/30/2020,New York,0,0,0,0
1/31/2020,New York,0,0,0,0
2/1/2020,New York,0,0,0,0
2/2/2020,New York,0,0,0,0
2/3/2020,New York,0,0,0,0
2/4/2020,New York,0,0,0,0
2/5/2020,New York,0,0,0,0
2/6/2020,New York,0,0,0,0
2/7/2020,New York,0,0,0,0
2/8/2020,New York,0,0,0,0
2/9/2020,New York,0,0,0,0
2/10/2020,New York,0,0,0,0
2/11/2020,New York,0,0,0,0
2/12/2020,New York,0,0,0,0
2/13/2020,New York,0,0,0,0
2/14/2020,New York,0,0,0,0
2/15/2020,New York,0,0,0,0
2/16/2020,New York,0,0,0,0
2/17/2020,New York,0,0,0,0
2/18/2020,New York,0,0,0,0
2/19/2020,New York,0,0,0,0
2/20/2020,New York,0,0,0,0
2/21/2020,New York,0,0,0,0
2/22/2020,New York,0,0,0,0
2/23/2020,New York,0,0,0,0
2/24/2020,New York,0,0,0,0
2/25/2020,New York,0,0,0,0
2/26/2020,New York,0,0,0,0
2/27/2020,New York,0,0,0,0
2/28/2020,New York,0,0,0,0
2/29/2020,New York,0,0,0,0
3/1/2020,New York,0,0,0,0
3/2/2020,New York,1,1,0,0
3/3/2020,New York,1,0,0,0
3/4/2020,New York,2,1,0,0
3/5/2020,New York,14,12,0,0
3/6/2020,New York,23,9,0,0
3/7/2020,New York,30,7,0,0
3/8/2020,New York,40,10,0,0
3/9/2020,New York,142,102,0,0
3/10/2020,New York,173,31,0,0
3/11/2020,New York,217,44,0,0
3/12/2020,New York,325,108,0,0
3/13/2020,New York,362,37,0,0
3/14/2020,New York,461,99,0,0
3/15/2020,New York,669,208,6,6
3/16/2020,New York,831,162,6,0
3/17/2020,New York,2601,1770,12,6
3/18/2020,New York,4597,1996,22,10
3/19/2020,New York,6834,2237,34,12
3/20/2020,New York,7845,1011,44,10
3/21/2020,New York,10356,2511,64,20
3/22/2020,New York,15168,4812,87,23
3/23/2020,New York,21689,6521,156,69
3/24/2020,New York,26358,4669,231,75
3/25/2020,New York,32966,6608,332,101
3/26/2020,New York,38977,6011,424,92
3/27/2020,New York,45934,6957,546,122
3/28/2020,New York,53308,7374,779,233
3/29/2020,New York,59219,5911,895,116
3/30/2020,New York,67131,7912,1069,174
3/31/2020,New York,74427,7296,1307,238
4/1/2020,New York,84735,10308,1672,365
4/2/2020,New York,90279,5544,1957,285
4/3/2020,New York,101993,11714,2375,418
4/4/2020,New York,111248,9255,2820,445
4/5/2020,New York,119435,8187,3489,669
4/6/2020,New York,141100,21665,5940,2451
4/7/2020,New York,138773,-2327,5489,-451
4/8/2020,New York,149316,10543,6240,751
4/9/2020,New York,157073,7757,7451,1211
4/10/2020,New York,170884,13811,7844,393
4/11/2020,New York,180458,9574,8627,783
4/12/2020,New York,188694,8236,9162,535
4/13/2020,New York,195081,6387,8843,-319
4/14/2020,New York,201834,6753,9522,679
4/15/2020,New York,211550,9716,14306,4784
4/16/2020,New York,216703,5153,14724,418
4/17/2020,New York,224438,7735,15759,1035
4/18/2020,New York,233570,9132,16274,515
4/19/2020,New York,238138,4568,17027,753
4/20/2020,New York,245580,7442,18367,1340
4/21/2020,New York,250800,5220,19103,736
4/22/2020,New York,253219,2419,19256,153
4/23/2020,New York,263744,10525,20255,999
4/24/2020,New York,267256,3512,20400,145
4/25/2020,New York,277606,10350,20985,585
4/26/2020,New York,282991,5385,21504,519
4/27/2020,New York,287607,4616,21883,379
4/28/2020,New York,290481,2874,22275,392
4/29/2020,New York,294715,4234,22759,484
4/30/2020,New York,299106,4391,23211,452
5/1/2020,New York,303129,4023,23673,462
5/2/2020,New York,307506,4377,23826,153
5/3/2020,New York,312618,5112,24560,734
5/4/2020,New York,313836,1218,24717,157
5/5/2020,New York,316041,2205,25014,297
5/6/2020,New York,318915,2874,25779,765
5/7/2020,New York,321962,3047,26120,341
5/8/2020,New York,324710,2748,26359,239
5/9/2020,New York,328599,3889,26697,338
5/10/2020,New York,334640,6041,26923,226
5/11/2020,New York,336017,1377,27184,261
5/12/2020,New York,336681,664,27282,98
5/13/2020,New York,338617,1936,27448,166
5/14/2020,New York,340799,2182,27617,169
5/15/2020,New York,343304,2505,27755,138
5/16/2020,New York,351872,8568,28097,342
5/17/2020,New York,347936,-3936,28168,71
5/18/2020,New York,349214,1278,28302,134
5/19/2020,New York,356179,6965,28484,182
5/20/2020,New York,357431,1252,28609,125
5/21/2020,New York,353623,-3808,28663,54
5/22/2020,New York,355621,1998,28802,139
5/23/2020,New York,362859,7238,28978,176
5/24/2020,New York,358844,-4015,29046,68
5/25/2020,New York,365405,6561,29193,147
