Entity,Code,Day,people_fully_vaccinated_per_hundred
Alabama,,2021-01-12,0.15
Alabama,,2021-01-13,0.19
Alabama,,2021-01-15,0.28
Alabama,,2021-01-19,0.33
Alabama,,2021-01-20,0.37
Alabama,,2021-01-21,0.44
Alabama,,2021-01-22,0.51
Alabama,,2021-01-23,0.56
Alabama,,2021-01-24,0.61
Alabama,,2021-01-25,0.61
Alabama,,2021-01-26,0.63
Alabama,,2021-01-27,0.69
Alabama,,2021-01-28,0.76
Alabama,,2021-01-29,0.9
Alabama,,2021-01-30,1.1
Alabama,,2021-01-31,1.13
Alabama,,2021-02-01,1.15
Alabama,,2021-02-02,1.2
Alabama,,2021-02-03,1.28
Alabama,,2021-02-04,1.41
Alabama,,2021-02-05,1.56
Alabama,,2021-02-06,1.72
Alabama,,2021-02-07,1.76
Alabama,,2021-02-08,1.8
Alabama,,2021-02-09,1.94
Alabama,,2021-02-10,2.09
Alabama,,2021-02-11,2.26
Alabama,,2021-02-12,2.49
Alabama,,2021-02-13,2.71
Alabama,,2021-02-14,2.79
Alabama,,2021-02-16,3.04
Alabama,,2021-02-17,3.15
Alabama,,2021-02-18,3.37
Alabama,,2021-02-19,3.92
Alabama,,2021-02-20,4.37
Alabama,,2021-02-21,4.48
Alabama,,2021-02-22,4.65
Alabama,,2021-02-23,4.88
Alabama,,2021-02-24,5.17
Alabama,,2021-02-25,5.48
Alabama,,2021-02-26,5.83
Alabama,,2021-02-27,6.28
Alabama,,2021-02-28,6.39
Alabama,,2021-03-01,6.45
Alabama,,2021-03-02,6.73
Alabama,,2021-03-03,7.07
Alabama,,2021-03-04,7.45
Alabama,,2021-03-05,7.81
Alabama,,2021-03-06,8.2
Alabama,,2021-03-07,8.3
Alabama,,2021-03-08,8.36
Alabama,,2021-03-09,8.57
Alabama,,2021-03-10,8.87
Alabama,,2021-03-11,9.23
Alabama,,2021-03-12,9.63
Alabama,,2021-03-13,10.05
Alabama,,2021-03-14,10.15
Alabama,,2021-03-15,10.22
Alabama,,2021-03-16,10.44
Alabama,,2021-03-17,10.68
Alabama,,2021-03-18,10.88
Alabama,,2021-03-19,11.16
Alabama,,2021-03-20,11.45
Alabama,,2021-03-21,11.56
Alabama,,2021-03-22,11.61
Alabama,,2021-03-23,11.82
Alabama,,2021-03-24,12.03
Alabama,,2021-03-25,12.25
Alabama,,2021-03-26,12.48
Alabama,,2021-03-27,12.71
Alabama,,2021-03-28,12.82
Alabama,,2021-03-29,12.88
Alabama,,2021-03-30,13.12
Alabama,,2021-03-31,13.4
Alabama,,2021-04-01,13.74
Alabama,,2021-04-02,14.09
Alabama,,2021-04-03,14.38
Alabama,,2021-04-04,14.48
Alabama,,2021-04-05,14.51
Alabama,,2021-04-06,14.79
Alabama,,2021-04-07,15.19
Alabama,,2021-04-08,15.59
Alabama,,2021-04-09,16.08
Alabama,,2021-04-10,16.55
Alaska,,2021-01-12,0.74
Alaska,,2021-01-13,0.84
Alaska,,2021-01-15,1.29
Alaska,,2021-01-19,1.48
Alaska,,2021-01-20,1.54
Alaska,,2021-01-21,1.69
Alaska,,2021-01-22,1.88
Alaska,,2021-01-23,2.08
Alaska,,2021-01-24,2.21
Alaska,,2021-01-25,2.28
Alaska,,2021-01-26,2.3
Alaska,,2021-01-27,2.47
Alaska,,2021-01-28,2.74
Alaska,,2021-01-29,2.95
Alaska,,2021-01-30,3.19
Alaska,,2021-01-31,3.36
Alaska,,2021-02-01,3.48
Alaska,,2021-02-02,3.58
Alaska,,2021-02-03,3.76
Alaska,,2021-02-04,4.12
Alaska,,2021-02-05,4.46
Alaska,,2021-02-06,4.89
Alaska,,2021-02-07,5.41
Alaska,,2021-02-08,5.58
Alaska,,2021-02-09,5.7
Alaska,,2021-02-10,5.95
Alaska,,2021-02-11,6.29
Alaska,,2021-02-12,6.69
Alaska,,2021-02-13,7.16
Alaska,,2021-02-14,7.81
Alaska,,2021-02-16,8.33
Alaska,,2021-02-17,8.54
Alaska,,2021-02-18,8.92
Alaska,,2021-02-19,9.83
Alaska,,2021-02-20,10.75
Alaska,,2021-02-21,11.25
Alaska,,2021-02-22,11.5
Alaska,,2021-02-23,11.58
Alaska,,2021-02-24,11.87
Alaska,,2021-02-25,12.33
Alaska,,2021-02-26,12.61
Alaska,,2021-02-27,13.03
Alaska,,2021-02-28,13.34
Alaska,,2021-03-01,13.66
Alaska,,2021-03-02,13.79
Alaska,,2021-03-03,14
Alaska,,2021-03-04,14.23
Alaska,,2021-03-05,14.57
Alaska,,2021-03-06,15.04
Alaska,,2021-03-07,15.55
Alaska,,2021-03-08,15.81
Alaska,,2021-03-09,16.04
Alaska,,2021-03-10,16.28
Alaska,,2021-03-11,16.7
Alaska,,2021-03-12,16.97
Alaska,,2021-03-13,17.31
Alaska,,2021-03-14,17.89
Alaska,,2021-03-15,18.12
Alaska,,2021-03-16,18.3
Alaska,,2021-03-17,18.56
Alaska,,2021-03-18,18.93
Alaska,,2021-03-19,19.16
Alaska,,2021-03-20,19.6
Alaska,,2021-03-21,19.95
Alaska,,2021-03-22,20.08
Alaska,,2021-03-23,20.12
Alaska,,2021-03-24,20.33
Alaska,,2021-03-25,20.64
Alaska,,2021-03-26,21.01
Alaska,,2021-03-27,21.42
Alaska,,2021-03-28,21.9
Alaska,,2021-03-29,22
Alaska,,2021-03-30,22.08
Alaska,,2021-03-31,22.3
Alaska,,2021-04-01,22.6
Alaska,,2021-04-02,22.91
Alaska,,2021-04-03,23.34
Alaska,,2021-04-04,24.17
Alaska,,2021-04-05,24.45
Alaska,,2021-04-06,24.52
Alaska,,2021-04-07,24.87
Alaska,,2021-04-08,25.51
Alaska,,2021-04-09,25.97
Alaska,,2021-04-10,26.63
American Samoa,ASM,2021-01-12,0.47
American Samoa,ASM,2021-01-13,0.65
American Samoa,ASM,2021-01-15,1.33
American Samoa,ASM,2021-01-19,1.38
American Samoa,ASM,2021-01-20,1.5
American Samoa,ASM,2021-01-21,1.67
American Samoa,ASM,2021-01-22,1.69
American Samoa,ASM,2021-01-23,1.7
American Samoa,ASM,2021-01-24,1.7
American Samoa,ASM,2021-01-25,1.7
American Samoa,ASM,2021-01-26,1.7
American Samoa,ASM,2021-01-27,1.71
American Samoa,ASM,2021-01-28,1.71
American Samoa,ASM,2021-01-29,1.79
American Samoa,ASM,2021-01-30,1.79
American Samoa,ASM,2021-01-31,1.79
American Samoa,ASM,2021-02-01,1.88
American Samoa,ASM,2021-02-02,1.88
American Samoa,ASM,2021-02-03,2.34
American Samoa,ASM,2021-02-04,2.68
American Samoa,ASM,2021-02-05,4.04
American Samoa,ASM,2021-02-06,4.45
American Samoa,ASM,2021-02-07,4.45
American Samoa,ASM,2021-02-08,4.45
American Samoa,ASM,2021-02-09,5.18
American Samoa,ASM,2021-02-10,6.27
American Samoa,ASM,2021-02-11,6.62
American Samoa,ASM,2021-02-12,8.92
American Samoa,ASM,2021-02-13,9.53
American Samoa,ASM,2021-02-14,9.53
American Samoa,ASM,2021-02-16,10.52
American Samoa,ASM,2021-02-17,10.75
American Samoa,ASM,2021-02-18,10.75
American Samoa,ASM,2021-02-19,10.75
American Samoa,ASM,2021-02-20,12.38
American Samoa,ASM,2021-02-21,14.03
American Samoa,ASM,2021-02-22,14.11
American Samoa,ASM,2021-02-23,14.11
American Samoa,ASM,2021-02-24,14.4
American Samoa,ASM,2021-02-25,14.4
American Samoa,ASM,2021-02-26,14.51
American Samoa,ASM,2021-02-27,14.51
American Samoa,ASM,2021-02-28,14.51
American Samoa,ASM,2021-03-01,14.51
American Samoa,ASM,2021-03-02,14.62
American Samoa,ASM,2021-03-03,14.62
American Samoa,ASM,2021-03-04,14.82
American Samoa,ASM,2021-03-05,14.82
American Samoa,ASM,2021-03-06,14.82
American Samoa,ASM,2021-03-07,14.82
American Samoa,ASM,2021-03-08,14.82
American Samoa,ASM,2021-03-09,14.82
American Samoa,ASM,2021-03-10,15.63
American Samoa,ASM,2021-03-11,15.63
American Samoa,ASM,2021-03-12,15.63
American Samoa,ASM,2021-03-13,15.65
American Samoa,ASM,2021-03-14,15.65
American Samoa,ASM,2021-03-15,16.2
American Samoa,ASM,2021-03-16,16.2
American Samoa,ASM,2021-03-17,16.21
American Samoa,ASM,2021-03-18,16.21
American Samoa,ASM,2021-03-19,16.21
American Samoa,ASM,2021-03-20,16.21
American Samoa,ASM,2021-03-21,16.21
American Samoa,ASM,2021-03-22,18.31
American Samoa,ASM,2021-03-23,18.39
American Samoa,ASM,2021-03-24,18.95
American Samoa,ASM,2021-03-25,18.97
American Samoa,ASM,2021-03-26,19.83
American Samoa,ASM,2021-03-27,19.84
American Samoa,ASM,2021-03-28,19.84
American Samoa,ASM,2021-03-29,19.84
American Samoa,ASM,2021-03-30,20.58
American Samoa,ASM,2021-03-31,24.07
American Samoa,ASM,2021-04-01,24.07
American Samoa,ASM,2021-04-02,24.7
American Samoa,ASM,2021-04-03,24.7
American Samoa,ASM,2021-04-04,24.7
American Samoa,ASM,2021-04-05,24.7
American Samoa,ASM,2021-04-06,24.7
American Samoa,ASM,2021-04-07,25.74
American Samoa,ASM,2021-04-08,25.75
American Samoa,ASM,2021-04-09,26.46
American Samoa,ASM,2021-04-10,26.46
Arizona,,2021-01-12,0.11
Arizona,,2021-01-13,0.17
Arizona,,2021-01-15,0.29
Arizona,,2021-01-19,0.42
Arizona,,2021-01-20,0.48
Arizona,,2021-01-21,0.57
Arizona,,2021-01-22,0.67
Arizona,,2021-01-23,0.76
Arizona,,2021-01-24,0.8
Arizona,,2021-01-25,0.86
Arizona,,2021-01-26,0.89
Arizona,,2021-01-27,0.95
Arizona,,2021-01-28,1.02
Arizona,,2021-01-29,1.11
Arizona,,2021-01-30,1.2
Arizona,,2021-01-31,1.27
Arizona,,2021-02-01,1.31
Arizona,,2021-02-02,1.33
Arizona,,2021-02-03,1.4
Arizona,,2021-02-04,1.53
Arizona,,2021-02-05,1.67
Arizona,,2021-02-06,1.87
Arizona,,2021-02-07,2.08
Arizona,,2021-02-08,2.22
Arizona,,2021-02-09,2.29
Arizona,,2021-02-10,2.44
Arizona,,2021-02-11,2.65
Arizona,,2021-02-12,2.86
Arizona,,2021-02-13,3.11
Arizona,,2021-02-14,3.37
Arizona,,2021-02-16,3.63
Arizona,,2021-02-17,3.68
Arizona,,2021-02-18,3.9
Arizona,,2021-02-19,4.61
Arizona,,2021-02-20,4.89
Arizona,,2021-02-21,5.17
Arizona,,2021-02-22,5.31
Arizona,,2021-02-23,5.4
Arizona,,2021-02-24,5.59
Arizona,,2021-02-25,5.94
Arizona,,2021-02-26,6.35
Arizona,,2021-02-27,6.74
Arizona,,2021-02-28,7.22
Arizona,,2021-03-01,7.64
Arizona,,2021-03-02,7.91
Arizona,,2021-03-03,8.26
Arizona,,2021-03-04,8.62
Arizona,,2021-03-05,9.04
Arizona,,2021-03-06,9.1
Arizona,,2021-03-07,9.82
Arizona,,2021-03-08,10.14
Arizona,,2021-03-09,10.31
Arizona,,2021-03-10,10.54
Arizona,,2021-03-11,10.88
Arizona,,2021-03-12,11.35
Arizona,,2021-03-13,11.8
Arizona,,2021-03-14,12.25
Arizona,,2021-03-15,12.55
Arizona,,2021-03-16,12.91
Arizona,,2021-03-17,13.13
Arizona,,2021-03-18,13.45
Arizona,,2021-03-19,13.49
Arizona,,2021-03-20,13.8
Arizona,,2021-03-21,14.14
Arizona,,2021-03-22,14.41
Arizona,,2021-03-23,14.56
Arizona,,2021-03-24,14.76
Arizona,,2021-03-25,15.23
Arizona,,2021-03-26,15.51
Arizona,,2021-03-27,15.85
Arizona,,2021-03-28,16.25
Arizona,,2021-03-29,16.56
Arizona,,2021-03-30,16.77
Arizona,,2021-03-31,17.07
Arizona,,2021-04-01,17.41
Arizona,,2021-04-02,17.84
Arizona,,2021-04-03,18.3
Arizona,,2021-04-04,18.77
Arizona,,2021-04-05,19.13
Arizona,,2021-04-06,19.23
Arizona,,2021-04-07,19.53
Arizona,,2021-04-08,19.97
Arizona,,2021-04-09,20.55
Arizona,,2021-04-10,21.16
Arkansas,,2021-01-12,0
Arkansas,,2021-01-13,0.43
Arkansas,,2021-01-15,0.62
Arkansas,,2021-01-19,0.72
Arkansas,,2021-01-20,0.88
Arkansas,,2021-01-21,0.88
Arkansas,,2021-01-22,1.05
Arkansas,,2021-01-23,1.05
Arkansas,,2021-01-24,1.08
Arkansas,,2021-01-25,1.1
Arkansas,,2021-01-26,1.23
Arkansas,,2021-01-27,1.36
Arkansas,,2021-01-28,1.36
Arkansas,,2021-01-29,1.52
Arkansas,,2021-01-30,1.73
Arkansas,,2021-01-31,1.86
Arkansas,,2021-02-01,1.94
Arkansas,,2021-02-02,1.98
Arkansas,,2021-02-03,2.1
Arkansas,,2021-02-04,2.28
Arkansas,,2021-02-05,2.45
Arkansas,,2021-02-06,2.7
Arkansas,,2021-02-07,2.99
Arkansas,,2021-02-08,3.12
Arkansas,,2021-02-09,3.15
Arkansas,,2021-02-10,3.44
Arkansas,,2021-02-11,3.67
Arkansas,,2021-02-12,3.93
Arkansas,,2021-02-13,4.11
Arkansas,,2021-02-14,4.33
Arkansas,,2021-02-16,4.52
Arkansas,,2021-02-17,4.58
Arkansas,,2021-02-18,4.66
Arkansas,,2021-02-19,5
Arkansas,,2021-02-20,5.06
Arkansas,,2021-02-21,5.22
Arkansas,,2021-02-22,5.36
Arkansas,,2021-02-23,5.44
Arkansas,,2021-02-24,5.73
Arkansas,,2021-02-25,6.12
Arkansas,,2021-02-26,6.64
Arkansas,,2021-02-27,7.1
Arkansas,,2021-02-28,7.54
Arkansas,,2021-03-01,7.74
Arkansas,,2021-03-02,7.84
Arkansas,,2021-03-03,8.05
Arkansas,,2021-03-04,8.28
Arkansas,,2021-03-05,8.53
Arkansas,,2021-03-06,8.79
Arkansas,,2021-03-07,9.09
Arkansas,,2021-03-08,9.19
Arkansas,,2021-03-09,9.27
Arkansas,,2021-03-10,9.45
Arkansas,,2021-03-11,9.47
Arkansas,,2021-03-12,9.85
Arkansas,,2021-03-13,10.27
Arkansas,,2021-03-14,10.27
Arkansas,,2021-03-15,10.38
Arkansas,,2021-03-16,10.44
Arkansas,,2021-03-17,10.58
Arkansas,,2021-03-18,10.75
Arkansas,,2021-03-19,10.96
Arkansas,,2021-03-20,11.13
Arkansas,,2021-03-21,11.43
Arkansas,,2021-03-22,11.55
Arkansas,,2021-03-23,11.6
Arkansas,,2021-03-24,11.84
Arkansas,,2021-03-25,12.15
Arkansas,,2021-03-26,12.47
Arkansas,,2021-03-27,12.88
Arkansas,,2021-03-28,13.37
Arkansas,,2021-03-29,13.51
Arkansas,,2021-03-30,13.59
Arkansas,,2021-03-31,13.9
Arkansas,,2021-04-01,14.34
Arkansas,,2021-04-02,14.9
Arkansas,,2021-04-03,15.94
Arkansas,,2021-04-04,15.97
Arkansas,,2021-04-05,16.15
Arkansas,,2021-04-06,16.22
Arkansas,,2021-04-07,16.68
Arkansas,,2021-04-08,17.19
Arkansas,,2021-04-09,17.67
Arkansas,,2021-04-10,18.28
California,,2021-01-12,0.25
California,,2021-01-13,0.34
California,,2021-01-15,0.52
California,,2021-01-19,0.66
California,,2021-01-20,0.69
California,,2021-01-21,0.74
California,,2021-01-22,0.81
California,,2021-01-23,0.86
California,,2021-01-24,0.9
California,,2021-01-25,0.94
California,,2021-01-26,0.98
California,,2021-01-27,1.06
California,,2021-01-28,1.16
California,,2021-01-29,1.23
California,,2021-01-30,1.33
California,,2021-01-31,1.41
California,,2021-02-01,1.47
California,,2021-02-02,1.5
California,,2021-02-03,1.55
California,,2021-02-04,1.58
California,,2021-02-05,1.71
California,,2021-02-06,1.84
California,,2021-02-07,2.05
California,,2021-02-08,2.15
California,,2021-02-09,2.22
California,,2021-02-10,2.35
California,,2021-02-11,2.51
California,,2021-02-12,2.74
California,,2021-02-13,2.98
California,,2021-02-14,3.26
California,,2021-02-16,3.69
California,,2021-02-17,3.82
California,,2021-02-18,4
California,,2021-02-19,4.44
California,,2021-02-20,4.72
California,,2021-02-21,5
California,,2021-02-22,5.18
California,,2021-02-23,5.32
California,,2021-02-24,5.49
California,,2021-02-25,5.72
California,,2021-02-26,6.02
California,,2021-02-27,6.33
California,,2021-02-28,6.6
California,,2021-03-01,6.94
California,,2021-03-02,7.34
California,,2021-03-03,7.57
California,,2021-03-04,7.7
California,,2021-03-05,7.91
California,,2021-03-06,8.25
California,,2021-03-07,8.47
California,,2021-03-08,8.62
California,,2021-03-09,8.72
California,,2021-03-10,8.82
California,,2021-03-11,8.96
California,,2021-03-12,9.15
California,,2021-03-13,9.67
