state_name,Day,total_cases_per_100k,new_cases_in_last_7_days_per_100k,people_fully_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations,total_vaccinations_per_hundred,tot_cases,tot_deaths
Alabama,4/10/2021,10583,43,811323,16.55,2065327,42,518588,10712
Alaska,4/10/2021,8726,165,194814,26.63,455719,62,62161,309
Arizona,4/10/2021,11672,72,1540110,21.16,4054007,55,849021,17092
Arkansas,4/10/2021,11003,36,551699,18.28,1440169,47,332053,5661
California,4/10/2021,9112,50,8110488,20.53,22281619,56,3595224,59113
Colorado,4/10/2021,8312,183,1249516,21.7,3266193,56,477443,6155
Connecticut,4/10/2021,9020,214,944060,26.48,2391842,67,321586,7944
Delaware,4/10/2021,10123,225,201012,20.64,561531,57,98203,1577
District of Columbia,4/10/2021,6494,112,130670,18.52,445289,63,45762,1081
Florida,4/10/2021,9890,197,4392045,20.45,11639845,54,2078784,34014
Georgia,4/10/2021,10113,87,1591591,14.99,4664737,43,1072700,19488
Guam,4/10/2021,4725,13,35792,21.59,99244,59,7833,136
Hawaii,4/10/2021,2174,45,335003,23.66,817817,57,29698,468
Idaho,4/10/2021,10249,110,362093,20.26,889862,49,183374,1993
Illinois,4/10/2021,10099,183,2638915,20.83,7185009,56,1276830,23777
Indiana,4/10/2021,10378,116,1356734,20.15,3301186,49,697533,13138
Iowa,4/10/2021,11312,116,755255,23.94,1854009,58,356509,5857
Kansas,4/10/2021,10443,47,634261,21.77,1600435,54,304236,4938
Kentucky,4/10/2021,9694,89,1027903,23.01,2525215,56,432720,6241
Louisiana,4/10/2021,9655,72,943720,20.3,2279467,49,448838,10216
Maine,4/10/2021,4014,163,368643,27.42,883051,65,53963,750
Maryland,4/10/2021,7058,155,1398541,23.13,3513930,58,426730,8455
Massachusetts,4/10/2021,9569,237,1687323,24.48,4461283,64,627950,17242
Michigan,4/10/2021,8215,516,2175595,21.78,5372960,53,820404,17563
Minnesota,4/10/2021,9611,280,1359032,24.1,3312268,58,540277,7022
Mississippi,4/10/2021,10330,46,556642,18.7,1337659,44,307449,7096
Missouri,4/10/2021,9514,71,1201809,19.58,3083405,50,583885,8515
Montana,4/10/2021,9935,97,255330,23.89,622560,58,106142,1523
Nebraska,4/10/2021,11076,123,439263,22.71,1108135,57,214207,2220
Nevada,4/10/2021,10000,92,624316,20.27,1615552,52,307704,5332
New Hampshire,4/10/2021,6535,221,313700,23.07,922666,67,88446,1256
New Jersey,4/10/2021,10735,296,2236169,25.18,5495689,61,950103,24859
New Mexico,4/10/2021,9222,58,604216,28.82,1477908,70,193368,3976
New York,4/10/2021,9980,262,4696961,24.14,11811282,60,1952268,50811
North Carolina,4/10/2021,8862,126,2164920,20.64,5527176,52,929406,12248
North Dakota,4/10/2021,13745,145,198260,26.02,484807,63,104745,1471
Northern Mariana Islands,4/10/2021,281,2,13589,23.89,32229,56,160,2
Ohio,4/10/2021,8893,132,2524316,21.6,6459111,55,1037600,18819
Oklahoma,4/10/2021,11191,93,902370,22.8,2273840,57,443569,6696
Oregon,4/10/2021,4033,85,897440,21.28,2266230,53,170085,2440
Pennsylvania,4/10/2021,8376,232,2775652,21.68,7457814,58,1068974,25402
Puerto Rico,4/10/2021,6785,242,489472,15.33,1276169,39,114197,2154
Rhode Island,4/10/2021,13319,268,287291,27.12,680525,64,141097,2638
South Carolina,4/10/2021,10929,144,998461,19.39,2591420,50,561588,9276
South Dakota,4/10/2021,13531,152,243221,27.49,584224,66,119705,1946
Tennessee,4/10/2021,12038,124,1192566,17.46,3189476,46,823351,12004
Texas,4/10/2021,9718,84,5502168,18.98,14685955,50,2816097,48185
Utah,4/10/2021,12168,86,515323,16.07,1662200,51,389760,2159
Vermont,4/10/2021,3398,169,158310,25.37,406472,65,20965,231
Virgin Islands,4/10/2021,2813,36,19750,18.87,50238,47,2971,26
Virginia,4/10/2021,7446,122,1874243,21.96,4960277,58,635552,10472
Washington,4/10/2021,4941,103,1737090,22.81,4343950,57,376230,5322
West Virginia,4/10/2021,8156,151,426351,23.79,1016392,56,145754,2742
Wisconsin,4/10/2021,11087,108,1410339,24.22,3558061,61,644901,7379
Wyoming,4/10/2021,9827,74,120534,20.83,289340,49,56873,701
